MeanModelFS_Dec_nugget_500_9,ND,500,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_500_9,-104521.1788,-86833.82662,120709,14.67265533,274.7165354,34.588304,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-86524.01275,171355,14.73269422,206.7716535,34.61181544,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-86524.01275,171355,14.73269422,214,34.61181544,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-86524.01275,171355,14.73269422,212.6220472,34.61181544,
MeanModelFS_Dec_nugget_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_150_9,-159079.3596,-127346.5068,285264,13.8147695,365.4409449,34.12218134,
MeanModelFS_Dec_nugget_200_9,ND,200,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_200_9,-213711.0664,-168893.481,577868,15.54806949,477.6771654,32.23440614,
MeanModelFS_Dec_nugget_250_9,ND,250,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_250_9,-267335.1542,-210036.1929,1010662,17.91429274,605.0551181,32.28174545,
MeanModelFS_Dec_nugget_300_9,ND,300,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_300_9,-319209.1818,-250117.3669,1856236,19.58524388,669.7559055,32.86459077,
MeanModelFS_Dec_nugget_350_9,ND,350,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_350_9,-369052.5643,-287958.8329,3466909,21.3335755,763.4251969,33.69677804,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_100_9,-84810.37474,-1.64E+10,42661,5.75E+08,223.8188976,9.48E+08,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-56868.50793,75250,13.74117057,257.1181102,34.99282788,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-56868.50714,75250,13.74113112,211.7795276,34.99356162,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-56868.50714,75250,13.74113112,211.519685,34.99356162,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-56868.50714,75250,13.74113112,207.3937008,34.99356162,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-2.01E+10,63410,8.57E+08,224.7322835,1.59E+09,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-36426.42032,63410,15.04728482,213.7637795,33.88527096,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-2.00E+10,93318,8.55E+08,215.5354331,1.58E+09,
